,Path,ClassId
End1.png,Test/End1.png,0
End2.png,Test/End2.png,0
NoEntry1.png,Test/NoEntry1.png,1
NoEntry2.png,Test/NoEntry2.png,1
NoLeft.png,Test/NoLeft.png,2
NoLeft2.png,Test/NoLeft2.png,2
NoRight.png,Test/NoRight.png,7
NoRight6.png,Test/NoRight6.png,7
NoStud.png,Test/NoStud.png,8
NoStud2.png,Test/NoStud2.png,8
NoUturn1.png,Test/NoUturn1.png,3
NoUturn2.png,Test/NoUturn2.png,3
Stop.png,Test/Stop.png,4
Stop1.png,Test/Stop1.png,4
Stop77.PNG,Test/Stop77.PNG,5
Stop771.PNG,Test/Stop771.PNG,5
StopAllDay10.png,Test/StopAllDay10.png,6
StopAllDay11.png,Test/StopAllDay11.png,6
